video/plan,Chen,Faster,Middle,Pei,Yolom,Zhang,source
2020-4-2 plan_n°352.mp4,0,0,0,0,0,0,BS
2020-5-1 plan_n°52.mp4,0,0,0,0,0,0,BS
2020-5-2 plan_n°61.mp4,0,0,0,0,0,0,BS
2020-6-1 plan_n°78.mp4,0,0,0,0,0,0,BS
2020-6-2 plan_n°134.mp4,0,0,0,0,0,0,BS
2020-7-1 plan_n°406.mp4,0,0,0,0,0,0,BS
2020-7-2 plan_n°630.mp4,0,0,0,0,0,0,BS
2020-8-1 plan_n°22.mp4,0,0,0,0,0,0,BS
2020-8-2 plan_n°517.mp4,0,0,0,0,0,0,BS
liste_video.txt,0,0,0,0,0,0,BS
